UBIGEO;REGION;PROVINCIA;DISTRITO;TOTAL PERSONAL
10101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;50
10102;AMAZONAS;CHACHAPOYAS;ASUNCION;0
10103;AMAZONAS;CHACHAPOYAS;BALSAS;0
10104;AMAZONAS;CHACHAPOYAS;CHETO;0
10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;1
10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;2
10107;AMAZONAS;CHACHAPOYAS;GRANADA;1
10108;AMAZONAS;CHACHAPOYAS;HUANCAS;2
10109;AMAZONAS;CHACHAPOYAS;LA JALCA;2
10110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;0
10111;AMAZONAS;CHACHAPOYAS;LEVANTO;0
10112;AMAZONAS;CHACHAPOYAS;MAGDALENA;1
10113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;0
10114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;6
10115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;0
10116;AMAZONAS;CHACHAPOYAS;OLLEROS;1
10117;AMAZONAS;CHACHAPOYAS;QUINJALCA;1
10118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;0
10119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;0
10120;AMAZONAS;CHACHAPOYAS;SOLOCO;0
10121;AMAZONAS;CHACHAPOYAS;SONCHE;0
10201;AMAZONAS;BAGUA;BAGUA;22
10202;AMAZONAS;BAGUA;ARAMANGO;10
10203;AMAZONAS;BAGUA;COPALLIN;3
10204;AMAZONAS;BAGUA;EL PARCO;0
10205;AMAZONAS;BAGUA;IMAZA;22
10206;AMAZONAS;BAGUA;LA PECA;9
10301;AMAZONAS;BONGARA;JUMBILLA;2
10302;AMAZONAS;BONGARA;CHISQUILLA;1
10303;AMAZONAS;BONGARA;CHURUJA;0
10304;AMAZONAS;BONGARA;COROSHA;0
10305;AMAZONAS;BONGARA;CUISPES;0
10306;AMAZONAS;BONGARA;FLORIDA;17
10307;AMAZONAS;BONGARA;JAZAN;4
10308;AMAZONAS;BONGARA;RECTA;3
10309;AMAZONAS;BONGARA;SAN CARLOS;0
10310;AMAZONAS;BONGARA;SHIPASBAMBA;0
10311;AMAZONAS;BONGARA;VALERA;0
10312;AMAZONAS;BONGARA;YAMBRASBAMBA;2
10401;AMAZONAS;CONDORCANQUI;NIEVA;46
10402;AMAZONAS;CONDORCANQUI;EL CENEPA;15
10403;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;3
10501;AMAZONAS;LUYA;LAMUD;8
10502;AMAZONAS;LUYA;CAMPORREDONDO;4
10503;AMAZONAS;LUYA;COCABAMBA;0
10504;AMAZONAS;LUYA;COLCAMAR;1
10505;AMAZONAS;LUYA;CONILA;0
10506;AMAZONAS;LUYA;INGUILPATA;5
10507;AMAZONAS;LUYA;LONGUITA;3
10508;AMAZONAS;LUYA;LONYA CHICO;0
10509;AMAZONAS;LUYA;LUYA;2
10510;AMAZONAS;LUYA;LUYA VIEJO;0
10511;AMAZONAS;LUYA;MARIA;0
10512;AMAZONAS;LUYA;OCALLI;1
10513;AMAZONAS;LUYA;OCUMAL;0
10514;AMAZONAS;LUYA;PISUQUIA;3
10515;AMAZONAS;LUYA;PROVIDENCIA;0
10516;AMAZONAS;LUYA;SAN CRISTOBAL;0
10517;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;0
10518;AMAZONAS;LUYA;SAN JERONIMO;1
10519;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;0
10520;AMAZONAS;LUYA;SANTA CATALINA;0
10521;AMAZONAS;LUYA;SANTO TOMAS;0
10522;AMAZONAS;LUYA;TINGO;0
10523;AMAZONAS;LUYA;TRITA;0
10601;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;5
10602;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;1
10603;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;0
10604;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;2
10605;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;2
10606;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;1
10607;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;3
10608;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;0
10609;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;4
10610;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;0
10611;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;0
